COUNTRY,TOBACCO PRODUCTS INCLUDED,YEAR,CURRENCY*,TOTAL EXCISE (SPECIFIC AND AD VALOREM),VALUE ADDED TAX (VAT) AND OTHER SALES TAXES,IMPORT DUTIES AND ALL OTHER TAXES (EXCLUDING CORPORATE TAXES ON TOBACCO COMPANIES),TOTAL REVENUES
Uganda,Cigarettes only,2017,UGX,59 604 634 742.00,  15 812 163 693.00,   270 278 754.00,  75 687 077 189.00
Ukraine,All Tobacco products,2017,UAH,39 869 804 000.00,. . .,. . .,. . .
United Arab Emirates,All tobacco products,2011,AED,—,—,   605 057 853.00,   605 057 853.00
United Kingdom of Great Britain and Northern Ireland,All Tobacco products,2017/2018,GBP,8 827 000 000.00,. . .,. . .,. . .
United Republic of Tanzania,Cigarettes only,2016/2017,TZS,  145 257.68,    40 187.57,. . .,. . .
United States of America,All Tobacco products,2016-2017,USD,30 529 618 286.00,. . .,. . .,. . .
Uruguay,All Tobacco products,2017,UYU,6 994 739 007.00,  2 417 276 906.19,. . .,  9 412 015 913.19
Uzbekistan,All Tobacco products,2016,UZS,284 150 800 000.00,. . .,. . .,. . .
Vanuatu,All Tobacco products,2017,VUV, 705 977 045.00,   912 046 400.00,   128 686 334.00,  1 746 709 779.00
Venezuela (Bolivarian Republic of),Cigarettes only,2016,VEF,283047 427 211 180.00, 14 548 637 758 169.00,. . .,. . .
Viet Nam,Cigarettes only,2017,VND,14404 954 500 000.00, 2 880 990 900 000.00, 1 458 300 000 000.00, 18 744 245 400 000.00
West Bank and Gaza Strip,Cigarettes only,2015,ILS,1 085 547 841.00,   198 532 486.00,. . .,  1 284 080 327.00
Yemen,Cigarettes only,2017,YER,3 814 496 000.00,  35 428 549 972.00,   6 717 500.00,. . .
Zambia,Cigarettes only,2017,ZMK, 26 231 184.59,   16 596 057.59,. . .,. . .
Zimbabwe,All Tobacco products,2017,USD, 22 848 478.00,   6 424 316.53,   1 308 548.19,   30 581 342.72
